label,rsi,macd,cci,is_above_sma50,is_above_ema50,is_above_sma100,is_above_ema100,volume,volatility,momentum,oversold,overbought,rsi_macd,close_mean_window,close_std_window,rsi_mean_window,rsi_std_window
0,59.37,12.69,24.9,1,1,1,1,22612300.0,0.04,-2.5569759999999633,0,0,753.2,256.18,19.05,51.6,10.01
0,61.6,12.21,25.16,1,1,1,1,11970100.0,0.04,4.968017000000032,0,0,752.31,256.14,19.13,51.35,10.39
0,63.61,12.04,65.47,1,1,1,1,21516100.0,0.04,4.907988999999986,0,0,765.57,255.95,19.4,51.05,10.65
0,59.55,11.35,34.13,1,1,1,1,21497200.0,0.04,-5.089996000000042,0,0,676.19,255.48,19.71,50.69,10.71
0,42.7,8.37,-165.34,1,0,1,1,57008000.0,0.05,-28.76797499999998,0,0,357.36,255.28,19.97,50.44,10.9
0,45.34,6.3,-172.85,1,0,1,1,52732000.0,0.05,5.048003999999963,0,0,285.73,255.11,20.21,50.2,11.08
0,45.82,4.68,-124.05,1,1,1,1,18456700.0,0.05,0.7929990000000089,0,0,214.24,254.77,20.58,49.9,11.24
0,44.93,3.21,-117.71,1,0,1,1,17130100.0,0.04,-1.6190179999999827,0,0,144.3,254.58,20.81,49.68,11.36
0,49.75,2.66,-72.05,1,1,1,1,18438100.0,0.04,8.042999000000009,0,0,132.31,254.49,20.88,49.6,11.36
0,49.04,2.1,-48.72,1,1,1,1,22811900.0,0.04,-1.154999000000032,0,0,102.96,254.34,20.99,49.48,11.36
0,38.72,-0.05,-110.67,0,0,0,0,40073700.0,0.05,-20.981995000000012,0,0,-1.83,254.2,21.08,49.4,11.34
0,39.11,-1.68,-130.18,0,0,0,0,35866900.0,0.05,-1.2749940000000208,0,0,-65.73,254.13,21.16,49.31,11.36
0,40.7,-2.76,-96.32,0,0,0,0,25730000.0,0.05,2.2559969999999794,0,0,-112.14,253.92,21.37,49.14,11.41
0,39.98,-3.69,-85.83,0,0,0,0,17274900.0,0.05,-1.5369869999999821,0,0,-147.34,253.61,21.74,48.9,11.53
0,44.08,-3.91,-69.2,0,0,1,0,16040900.0,0.05,5.822997999999984,0,0,-172.47,253.47,21.86,48.83,11.54
0,39.06,-4.85,-93.28,0,0,0,0,21699400.0,0.05,-10.027007999999995,0,0,-189.4,253.3,22.04,48.72,11.56
0,42.43,-5.14,-87.7,0,0,0,0,23009600.0,0.05,4.647003000000012,0,0,-218.29,252.84,22.32,48.46,11.51
0,40.76,-5.58,-81.79,0,0,0,0,22672000.0,0.05,-3.229996,0,0,-227.48,252.54,22.42,48.34,11.44
0,42.99,-5.62,-73.17,0,0,0,0,22877200.0,0.04,3.0489960000000167,0,0,-241.41,252.08,22.55,48.13,11.3
0,47.02,-5.12,-15.33,0,0,1,0,26272600.0,0.04,5.916000000000025,0,0,-240.85,251.41,22.44,47.85,11.02
0,47.94,-4.57,25.13,0,0,1,1,23146600.0,0.04,1.248000999999988,0,0,-219.15,250.74,22.13,47.61,10.69
0,47.52,-4.14,23.85,0,0,1,0,12493500.0,0.04,-0.5939940000000092,0,0,-196.65,250.18,21.99,47.45,10.52
0,52.45,-3.2,99.75,1,1,1,1,19649200.0,0.04,6.836989999999986,0,0,-167.92,249.52,21.8,47.22,10.29
0,48.8,-2.84,127.52,0,0,1,1,20034200.0,0.04,-5.229003999999975,0,0,-138.5,248.82,21.73,46.95,10.1
0,47.19,-2.71,60.84,0,0,1,0,18467400.0,0.04,-2.094009,0,0,-127.69,248.18,21.48,46.76,9.88
0,41.96,-3.22,-51.4,0,0,0,0,30086400.0,0.04,-8.041991999999993,0,0,-135.16,247.68,21.21,46.67,9.76
0,41.15,-3.7,-114.83,0,0,0,0,21643500.0,0.04,-1.0750119999999868,0,0,-152.08,246.89,20.51,46.44,9.4
1,36.82,-4.63,-158.07,0,0,0,0,28882000.0,0.04,-7.621994000000001,0,0,-170.54,246.05,19.68,46.19,8.97
1,37.27,-5.27,-137.88,0,0,0,0,16365200.0,0.04,0.535995999999983,0,0,-196.55,245.16,18.56,45.93,8.45
1,37.03,-5.75,-126.41,0,0,0,0,12387900.0,0.04,-0.3820039999999949,0,0,-212.9,244.29,17.42,45.68,7.97
1,30.93,-6.98,-165.57,0,0,0,0,31181800.0,0.04,-11.362990999999994,0,0,-215.83,243.49,16.61,45.47,7.7
1,28.55,-8.29,-173.52,0,0,0,0,31719000.0,0.04,-5.600006000000008,1,0,-236.82,242.75,15.86,45.32,7.51
1,33.31,-8.86,-126.31,0,0,0,0,22562000.0,0.04,4.759994999999975,0,0,-295.03,241.95,14.82,45.14,7.24
1,37.82,-8.82,-79.91,0,0,0,0,24805400.0,0.04,4.655991,0,0,-333.65,241.06,13.41,44.91,6.85
1,34.78,-9.15,-84.45,0,0,0,0,20429800.0,0.04,-5.692993000000001,0,0,-318.05,240.26,12.11,44.75,6.62
1,35.25,-9.26,-84.75,0,0,0,0,12939000.0,0.04,0.5030059999999992,0,0,-326.28,239.88,11.96,44.8,6.61
1,34.82,-9.3,-68.77,0,0,0,0,15021500.0,0.03,-0.8559879999999964,0,0,-323.79,239.4,11.68,44.79,6.61
1,37.03,-9.07,-56.9,0,0,0,0,18364700.0,0.03,2.0140069999999923,0,0,-335.68,238.95,11.33,44.82,6.62
1,47.17,-7.93,11.41,0,0,0,0,24978000.0,0.03,10.649002000000024,0,0,-374.04,238.55,11.0,44.88,6.64
1,46.34,-7.04,61.84,0,0,0,0,23847900.0,0.03,-1.426009999999991,0,0,-326.11,238.09,10.32,44.97,6.74
1,48.38,-6.07,77.85,0,0,0,0,17036000.0,0.03,2.40901199999999,0,0,-293.88,237.64,9.62,45.03,6.8
1,44.27,-5.67,51.16,0,0,0,0,21448700.0,0.03,-4.701996000000008,0,0,-250.84,237.56,9.57,45.31,6.88
1,40.77,-5.67,6.58,0,0,0,0,13957200.0,0.03,-4.845002000000022,0,0,-231.17,237.41,9.51,45.49,6.86
1,36.35,-6.16,-100.54,0,0,0,0,28943700.0,0.03,-6.98001099999999,0,0,-224.08,237.22,9.4,45.65,6.86
1,45.38,-5.69,0.72,0,0,0,0,38574000.0,0.04,9.856994000000014,0,0,-258.41,237.06,9.31,45.82,6.84
1,43.09,-5.54,-19.27,0,0,0,0,21469200.0,0.04,-3.1139980000000094,0,0,-238.51,236.81,9.08,45.93,6.87
1,43.06,-5.35,-37.55,0,0,0,0,18936500.0,0.03,0.21699599999999464,0,0,-230.41,236.72,9.05,46.11,6.83
0,51.59,-4.32,90.41,0,0,0,0,33818600.0,0.03,10.452010999999999,0,0,-222.96,236.49,8.95,46.15,6.82
0,48.51,-3.79,86.92,0,0,0,0,18815300.0,0.03,-3.8600000000000136,0,0,-183.86,236.26,8.93,46.14,6.82
0,50.73,-3.1,73.97,0,0,0,0,12535500.0,0.03,2.5889899999999955,0,0,-157.42,235.86,8.97,45.97,7.02
0,54.73,-2.1,127.51,0,1,0,0,18494100.0,0.03,5.477996999999988,0,0,-114.75,235.41,8.78,45.82,7.1
0,53.57,-1.39,122.49,0,0,0,0,21223400.0,0.03,-1.337997999999999,0,0,-74.51,234.95,8.51,45.66,7.17
0,51.06,-1.05,54.97,0,0,0,0,23929100.0,0.03,-2.731002999999987,0,0,-53.78,234.46,8.26,45.47,7.26
0,45.98,-1.28,1.5,0,0,0,0,29587200.0,0.03,-6.466995000000026,0,0,-58.96,233.88,7.61,45.23,7.28
0,52.1,-0.84,49.51,0,0,0,0,29064400.0,0.03,7.671997000000005,0,0,-44.01,233.39,7.15,45.06,7.31
0,56.67,0.03,129.34,1,1,0,1,27445500.0,0.03,6.659012000000018,0,0,1.62,232.89,6.79,44.87,7.41
0,54.91,0.55,123.6,1,1,0,0,19790500.0,0.03,-1.936996000000022,0,0,30.22,232.62,6.63,44.93,7.4
0,53.56,0.83,90.46,1,1,0,0,15019100.0,0.03,-1.4329989999999952,0,0,44.48,232.38,6.48,45.02,7.38
0,55.01,1.19,88.49,1,1,0,0,20892300.0,0.03,1.8590090000000146,0,0,65.39,232.26,6.48,45.17,7.31
0,53.99,1.37,68.72,1,1,0,0,19282600.0,0.03,-1.0330040000000054,0,0,74.11,232.15,6.46,45.35,7.24
0,49.53,1.12,7.71,0,0,0,0,27180100.0,0.03,-5.020995999999997,0,0,55.64,232.05,6.45,45.53,7.17
0,50.05,0.96,-41.72,0,0,0,0,24413700.0,0.03,0.7149960000000135,0,0,48.01,232.18,6.38,45.89,6.97
0,50.71,0.87,-16.79,1,0,0,0,16329400.0,0.03,0.6499939999999924,0,0,44.31,232.41,6.15,46.32,6.68
1,49.19,0.68,-54.81,0,0,0,0,11089700.0,0.03,-1.4909970000000214,0,0,33.5,232.63,6.07,46.76,6.69
1,49.92,0.57,-35.99,0,0,0,0,11134300.0,0.03,0.7920069999999839,0,0,28.65,232.99,6.48,47.34,7.43
1,45.93,0.19,-87.83,0,0,0,0,16780300.0,0.03,-3.7589869999999905,0,0,8.74,233.43,6.67,47.93,7.83
1,44.7,-0.21,-113.03,0,0,0,0,14241900.0,0.02,-1.089997000000011,0,0,-9.23,233.85,6.83,48.51,8.15
1,47.37,-0.35,-99.86,0,0,0,0,15499400.0,0.02,2.128005999999999,0,0,-16.57,234.21,6.81,48.95,8.14
1,49.07,-0.35,-63.3,0,0,0,0,15108900.0,0.02,1.3279880000000048,0,0,-17.29,234.54,6.84,49.38,8.18
1,54.97,0.05,27.95,1,1,0,0,27003000.0,0.02,5.027007999999995,0,0,2.68,234.69,6.94,49.6,8.3
1,53.02,0.24,58.43,1,1,0,0,14605000.0,0.02,-1.4140010000000132,0,0,12.98,234.9,7.12,49.88,8.49
1,55.42,0.56,89.88,1,1,0,0,11508000.0,0.02,1.9770049999999912,0,0,31.12,235.02,7.22,50.06,8.57
1,50.3,0.5,35.79,1,0,0,0,14423900.0,0.02,-3.8170009999999763,0,0,24.99,235.18,7.24,50.21,8.54
1,50.31,0.44,7.4,1,0,0,0,16425000.0,0.02,0.011992999999989706,0,0,22.18,235.45,7.21,50.46,8.48
1,50.54,0.41,29.61,1,0,0,0,18837000.0,0.02,0.21800300000001016,0,0,20.49,235.84,6.97,50.79,8.32
1,50.72,0.38,17.79,1,0,0,0,13829600.0,0.02,0.15100100000000793,0,0,19.43,236.2,7.18,51.12,8.49
1,50.22,0.34,0.8,1,0,0,0,14805000.0,0.02,-0.2810060000000192,0,0,16.88,236.58,7.24,51.42,8.53
1,44.52,-0.0,-85.71,0,0,0,0,14098600.0,0.02,-3.746994000000001,0,0,-0.16,237.09,7.56,51.84,8.74
1,40.37,-0.52,-147.89,0,0,0,0,14730800.0,0.02,-2.944993000000011,0,0,-21.05,237.53,8.26,52.19,9.13
1,32.78,-1.5,-222.25,0,0,0,0,26090500.0,0.02,-7.307006999999999,0,0,-49.2,237.97,8.66,52.47,9.29
1,37.77,-2.02,-180.94,0,0,0,0,20459000.0,0.02,2.9089969999999994,0,0,-76.35,238.3,8.93,52.65,9.36
1,37.89,-2.4,-130.6,0,0,0,0,17752400.0,0.02,0.1380010000000027,0,0,-90.96,238.56,9.22,52.77,9.44
1,36.22,-2.79,-111.12,0,0,0,0,14728100.0,0.02,-1.4479980000000126,0,0,-101.19,238.92,9.66,52.98,9.59
1,37.42,-3.02,-94.3,0,0,0,0,18056500.0,0.02,0.7979890000000012,0,0,-113.03,239.51,10.53,53.34,9.91
1,38.75,-3.11,-75.31,0,0,0,0,11131500.0,0.02,0.613997999999981,0,0,-120.51,240.15,11.11,53.71,10.07
1,35.43,-3.36,-79.43,0,0,0,0,13318400.0,0.02,-2.714995999999985,0,0,-119.16,240.63,11.59,53.93,10.17
1,45.69,-3.08,-35.88,0,0,0,0,23378400.0,0.02,5.610000000000014,0,0,-140.53,241.07,12.21,54.12,10.33
1,46.6,-2.77,2.74,0,0,0,0,28353100.0,0.02,0.5100099999999941,0,0,-129.13,241.52,12.73,54.3,10.44
1,46.24,-2.52,6.33,0,0,0,0,15904800.0,0.02,-0.19200099999997633,0,0,-116.52,242.25,13.89,54.65,10.76
1,47.86,-2.22,34.63,0,0,0,0,14416000.0,0.02,0.8500060000000076,0,0,-106.39,243.08,15.34,55.02,11.16
1,48.37,-1.94,67.79,0,0,0,0,14017700.0,0.02,0.2769930000000045,0,0,-93.98,244.23,17.62,55.49,11.7
1,52.77,-1.51,116.38,0,0,0,0,13305300.0,0.02,2.481995000000012,0,0,-79.58,245.14,18.62,55.76,11.75
